TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
GEPA4;25,85;;31,01;1,22;0,60;21,17;19,97;5,63;8,75;11,31;2,88;0,40;1,75;-5,72;-0,71;0,59;3,92;1,94;7,87;0,49;0,51;0,34;0,20;-26,26;56.868,00;21,24;0,83;-0,37;2.353.277.412,36
GPAR3;39,50;38,36;3,67;2,77;1,28;77,77;547,17;402,42;2,70;1,03;-1,67;-1,71;14,78;4,62;-6,51;1,52;75,37;34,77;66,82;0,46;0,54;0,09;-9,31;-10,31;7.086,00;14,27;10,76;0,01;3.078.173.064,00
LIGT3;5,77;4,40;8,58;0,25;0,08;17,96;9,83;1,68;1,46;6,55;5,09;0,87;0,14;1,04;-0,11;1,33;2,90;0,90;4,19;0,31;0,69;0,54;9,08;;25.598.155,33;23,16;0,67;-0,16;2.149.644.219,48
LIPR3;70,00;2,60;33,68;3,97;3,37;;;;36,81;34,03;-2,78;-0,30;;23,37;-4,52;2,30;11,79;10,00;10,25;0,85;0,15;0,00;;-7,19;16.246,33;17,63;2,08;-6,38;823.542.230,00
MEGA3;11,53;;-34,72;1,59;0,45;20,86;14,83;-18,05;42,27;79,01;36,74;1,38;6,27;36,14;-0,55;1,07;-4,57;-1,30;1,22;0,29;0,71;0,07;;;25.612.840,95;7,27;-0,33;;6.567.469.183,04
NEOE3;16,50;4,84;4,77;0,79;0,22;28,43;21,16;9,30;2,09;5,78;3,68;1,38;0,44;4,56;-0,29;1,25;16,50;4,66;11,59;0,28;0,71;0,50;23,82;69,22;31.144.944,86;20,98;3,46;0,47;20.027.654.592,00
OMGE3;27,57;;14,63;1,37;0,45;30,33;60,08;18,41;4,48;8,44;3,95;1,21;2,69;11,51;-0,53;1,30;9,39;3,04;10,70;0,32;0,68;0,17;55,45;107,85;49.236.324,19;20,06;1,88;-0,03;5.521.562.588,85
POWE3;10,90;;23,92;0,99;0,38;6,82;3,52;2,59;17,55;10,60;-6,96;-0,39;0,62;6,57;-0,74;1,13;4,13;1,58;3,81;0,38;0,62;0,61;;;5.388.846,38;11,02;0,46;-1,77;977.237.930,40
REDE3;6,35;8,11;8,23;3,16;0,54;27,67;22,28;9,87;3,65;5,89;2,24;1,95;0,81;6,61;-0,72;1,47;38,41;6,54;18,71;0,17;0,76;0,66;15,06;59,09;7.708,97;2,01;0,77;0,70;13.400.553.424,90
RNEW11;6,78;;1,55;-0,40;0,12;1,60;385,70;127,13;0,51;2,33;1,82;;1,98;-5,67;-0,15;0,87;-26,04;8,00;127,85;-0,31;1,31;0,06;-27,95;;105.140,98;-16,75;4,36;0,01;247.424.908,48
RNEW3;2,20;;1,51;-0,39;0,12;1,60;385,70;127,13;0,50;2,33;1,82;;1,92;-5,52;-0,14;0,87;-26,04;8,00;127,85;-0,31;1,31;0,06;-27,95;;184.845,90;-5,58;1,45;0,01;247.424.908,48
RNEW4;2,26;;1,55;-0,40;0,12;1,60;385,70;127,13;0,51;2,33;1,82;;1,98;-5,67;-0,15;0,87;-26,04;8,00;127,85;-0,31;1,31;0,06;-27,95;;409.857,69;-5,58;1,45;0,01;247.424.908,48
TAEE11;40,71;13,05;6,73;1,96;0,77;85,35;101,94;63,10;4,17;6,18;2,02;0,95;4,25;5,25;-0,98;3,09;29,13;11,43;19,17;0,39;0,61;0,18;20,07;19,31;71.974.970,76;20,77;6,05;-0,29;14.024.550.503,97
TAEE3;13,61;13,01;6,75;1,97;0,77;85,35;101,94;63,10;4,18;6,18;2,02;0,95;4,26;5,26;-0,99;3,09;29,13;11,43;19,17;0,39;0,61;0,18;20,07;19,31;1.039.854,90;6,92;2,02;-0,29;14.024.550.503,97
TAEE4;13,64;12,98;6,76;1,97;0,77;85,35;101,94;63,10;4,19;6,18;2,02;0,95;4,27;5,27;-0,99;3,09;29,13;11,43;19,17;0,39;0,61;0,18;20,07;19,31;1.783.042,81;6,92;2,02;-0,29;14.024.550.503,97
TIET11;12,54;;4,38;2,25;0,46;74,66;61,76;49,46;3,51;7,15;3,64;2,34;2,16;1.031,49;-0,52;1,00;51,45;10,47;13,16;0,20;0,72;0,21;-5,19;23,78;;5,57;2,87;0,02;5.004.795.800,93
TIET3;3,49;;6,09;3,13;0,64;74,66;61,76;49,46;4,88;7,15;3,64;2,34;3,01;1.435,37;-0,72;1,00;51,45;10,47;13,16;0,20;0,72;0,21;-5,19;23,78;;1,11;0,57;0,03;5.004.795.800,93
TIET4;3,51;;6,13;3,15;0,64;74,66;61,76;49,46;4,91;7,15;3,64;2,34;3,03;1.443,59;-0,72;1,00;51,45;10,47;13,16;0,20;0,72;0,21;-5,19;23,78;;1,11;0,57;0,03;5.004.795.800,93
TRPL3;31,42;4,72;7,32;1,33;0,66;69,24;74,10;47,45;4,69;5,57;1,56;0,44;3,47;5,66;-0,77;7,49;18,13;9,07;15,71;0,50;0,49;0,19;-6,60;-10,52;51.692,36;23,68;4,29;-0,37;17.678.983.798,80
TRPL4;23,88;6,22;5,56;1,01;0,50;69,24;74,10;47,45;3,56;5,57;1,56;0,44;2,64;4,30;-0,58;7,49;18,13;9,07;15,71;0,50;0,49;0,19;-6,60;-10,52;39.300.100,36;23,68;4,29;-0,28;17.678.983.798,80
